# KISS-Conform - verified-testable worklist.
#
# The subset of conformance/UNBACKED.tsv for which a multi-agent triage, with an
# adversarial verifier per row, confirmed a REAL TEST WITH TEETH can be written
# TODAY (against the current spec + harness). "Teeth" = there is a plausible wrong
# implementation the test catches; a tautology does not qualify.
#
# 72 clauses survived verification (of 239 checked; 70% of candidates were refuted
# and reclassified as blocked-on-a-spec-decision, no-teeth, or a document lint).
# This is a FLOOR, not a ceiling: only the top ~30 candidates per sub-standard were
# verified, so the true workable count is higher - but every row here is checked.
#
# status DONE = a test with teeth now backs it (struck from UNBACKED.tsv).
# Pick a `todo` row, write the test the clause names, cite the clause, run the gate.
#
# clause	sub	effort	status	teeth-it-catches
KISS-GRAMMAR-6.4-0010	GRAMMAR	medium	todo	An impl that sorts operands by node-table index instead of by subtree key — cheap and plausible, and it coincidentally reproduces G1's add=[0,3], so G1 alone do
KISS-GRAMMAR-6.8-0001	GRAMMAR	medium	todo	An impl that omits the trailing extract_count when the extract list is empty ("why emit a zero count?"). G1 and G4 both pin a trailing `00 00`. A foreign reader
KISS-ANNOUNCE-6.3-0011	ANNOUNCE	trivial	todo	A producer writing `0x4C564153u32.to_be_bytes()` or `u32::to_be_bytes` on the LE constant — either reverses the tag to 4C 56 41 53. §2.4 exists as a whole secti
KISS-ANNOUNCE-7.2-0007	ANNOUNCE	trivial	todo	A reader that applies §6.2's hard-reject discipline to `capabilities` — validating it against the assigned-bit mask and declining on any bit outside. This is th
KISS-ANNOUNCE-6.3-0012	ANNOUNCE	trivial	todo	A producer that packs record_count immediately after the 4-byte tag, omitting the version block entirely — easy to do, since §6.3-0005 describes the framing 'af
KISS-ANNOUNCE-7.1-0002	ANNOUNCE	trivial	todo	`l.intersection(&r).max().unwrap()` — the idiomatic one-liner, which panics on an empty intersection. L={1}, R={2} is a two-envelope handshake between a v1-only
KISS-ANNOUNCE-6.4-0007	ANNOUNCE	small	todo	A producer emitting the decline_code as a u16 (six values fit in a byte — why spend four?), which truncates every vendor-range code and leaves two bytes of the 
KISS-ANNOUNCE-6.4-0006	ANNOUNCE	small	todo	`bytes[off..off+32].try_into().unwrap()` for the revision_hash on a request truncated mid-hash — the exact idiom the current envelope decoder uses at conformanc
KISS-ANNOUNCE-7.1-0001	ANNOUNCE	small	todo	A negotiator that returns the FIRST mutual profile instead of the highest — the natural result of iterating the ascending profiles array and returning on first 
KISS-ANNOUNCE-6.4-0004	ANNOUNCE	medium	todo	A producer writing the tag as `0x50535243u32.to_be_bytes()` — the §2.4 table gives both the ASCII and the u32, and picking the u32 with the wrong endianness rev
KISS-ANNOUNCE-6.3-0005	ANNOUNCE	medium	todo	A producer emitting record_count/key_len big-endian (the `htonl` reflex on anything called a network format — the envelope is the only place the spec's own work
KISS-ANNOUNCE-6.4-0001	ANNOUNCE	medium	todo	A reader that treats revision_present as truthy (`if flag != 0 { read 32 bytes }`) accepts flag=0xFF on a request with no trailing hash and reads 32 bytes past 
KISS-SYNTH-6.6-0004b	SYNTH	trivial	todo	A reader that reuses its §6.1-0004 request-validation (key length must be in [1,4096]) on the response path — and therefore REJECTS the provider's own perfectly
KISS-SYNTH-6.6-0004a	SYNTH	trivial	todo	A provider that echoes back whatever key bytes it managed to read before the parse failed — a partial, attacker-chosen key of some other length — or that omits 
KISS-SYNTH-6.6-0004	SYNTH	small	todo	An encoder that puts decline_code immediately after the tag (the natural shape if you think of a decline as 'an error code, plus context') instead of after the 
KISS-SYNTH-6.1-0004	SYNTH	small	todo	A reader that treats revision_present as a C-style truthy byte (`!= 0` means present) and so accepts 0x02 — where the spec mandates a decline. It then reads 32 
KISS-SYNTH-6.1-0002	SYNTH	small	todo	An encoder that writes the tag via `0x51525943u32.to_le_bytes()` on a big-endian host, or — far more likely — one that always emits the 32-byte revision_hash fi
KISS-SYNTH-6.4-0001b	SYNTH	medium	todo	An encoder that makes the artifact length a u32 (matching CRSP's u32 payload length, the obvious copy-paste source) instead of a u64 — the frame parses identica
KISS-CONTRACT-6.11-0002	CONTRACT	trivial	todo	A Windows-side emitter writing the header with CRLF. `\r` lands inside the body/header split, `len` is then off by one on every document, and a reader that stri
KISS-CONTRACT-6.1-0002	CONTRACT	small	todo	A reader that repairs — skips leading junk to find `KISC`, or defaults a missing `crc32=` to "unchecked." Tolerant readers are written on purpose ('be liberal i
KISS-CONTRACT-6.1-0004	CONTRACT	small	todo	`Vec::with_capacity(declared_len)` before validating that the buffer actually holds that many bytes. Feed a 40-byte input whose header says `len=4294967295`: th
KISS-CONTRACT-6.11-0005	CONTRACT	small	todo	A HashMap/BTreeMap-backed emitter. A HashMap iterates in random order (different every run — so the document's own CRC is nondeterministic across two runs of th
KISS-CONTRACT-6.11-0001	CONTRACT	small	todo	An emitter writing `key=value` (no spaces) or `[a,b]` (no space after comma) — the natural output of every join(",") and every format!("{k}={v}"). Both are read
KISS-CONTRACT-6.11-0007	CONTRACT	medium	todo	Root-FIRST serialization. A recursive-descent emitter (`fn emit(node) { push(node); for c in children { emit(c) } }`) is the obvious way to write this and produ
KISS-CONFORM-6.2-0003	CONFORM	small	todo	A gate that treats sidecar membership as liveness and ignores the Appendix-E `status` field. A test citing a retired ID then credits coverage for a requirement 
